side12+side22,side12+side32,side22+side32,validity
1645858,3266570,1650970,0
815048,1324100,1096580,0
111592743025,223138055281,111640173794,1
5184,10368,5184,1
56040196,110948296,57172292,1
925,1013,970,0
66683432,128103956,64666676,0
7805337745,15264966865,7528754402,0
20550545,38324290,18572593,0
268930,516130,270962,0
41783296,81928192,43421696,1
164301124,327118724,165784648,1
10816,12416,20032,1
1369,2594,1513,1
284626757,550741826,270821381,0
1217857,2404625,1220050,0
14796392,24144916,10876276,0
3212622400,3224401024,6413466176,1
35419240000,35434294400,70823425600,1
66313,127513,66818,0
32718400,63454336,34700864,1
138109504,273785408,140543104,1
2578594,4865093,2718949,0
2973848545,5755664993,2817754690,0
10353062500,20683752100,10375435400,1
4892792213,9542494138,4681990573,0
1540217513,2718137138,1229288873,0
114529,225121,115200,0
773766866,1518885077,755744261,0
15601259025,31194275409,15609501666,1
7885440000,7902480384,15753839616,1
68515156516,68545516616,136999952932,1
2965924,5909924,2972800,0
11867052096,11882733696,23718422592,1
10291264,10393664,20480128,1
1024515122,1994887841,981502481,0
1142980864,1144062464,2284880128,1
240100,326536,393764,1
61732371600,61762183200,123434931600,1
851764225,852522866,1702769809,1
459077,901825,460420,0
996980625,1989230625,1001711250,1
30314292100,30330308104,60612568196,1
165575171725,326994427762,161758192685,0
594091876,1187501476,594774152,1
52808930,102577285,51677413,0
3657674,7280930,3665306,0
3757690000,3769940000,7503130000,1
22300837,44585125,22310280,0
709,1060,801,0
535079813,1037639605,514535410,0
1707011856,1717901856,3403133712,1
5473040400,10930112784,5489008416,1
189667984,378125968,190877984,1
2446096,4350496,2987792,1
11128140100,11160607304,22223812996,1
198387225,395508825,199652850,1
1361019664,1374562064,2708496928,1
3667513600,7333089536,3669451264,1
20292002500,20335853384,40540154116,1
63957017441,126247461922,62468671681,0
223727290,328107377,134287465,0
870545025,871783794,1739851281,1
996980625,1989230625,1001711250,1
17172355037,33684093250,16586304685,0
1222205300,2399888968,1205300980,0
1000899769,2000724169,1001975138,1
2245945,4455113,2248930,0
5284948,10515700,5294120,0
19604,19604,20000,0
24107220225,24117466626,48204194049,1
3882730,7196545,4182377,0
326532232,629857412,311697412,0
16341020224,32643202624,16379858048,1
2046205225,2053707346,4084908329,1
39975394,39981169,16675313,0
109095850,159904517,65747245,0
32493881108,64029919720,31722360820,0
2492905041,2496199266,4982515857,1
9753445,19500013,9759690,0
28349586866,55839265777,27659511361,0
1968409,3872809,2032418,1
4149925,8278381,4153994,0
9457173504,9475835904,18895684608,1
161433090937,319374530690,158273022505,0
10309850,18674405,8899133,0
4306903129,4315037033,8605672354,1
11513290000,23001699856,11538170144,1
79478901818,156818834965,77546262445,0
1923556,3836452,1929096,0
8473921,8882242,16539521,1
4809422500,9592528100,4835739400,1
607277449,609148873,1212683474,1
6856,10132,8276,0
386458826,748687889,368002265,0
1832610481,1838940737,3658890706,1
0,0,0,1
87773542756,175498504612,87822123656,1
107889769,214805369,108863938,1
726949444,1447335044,733513288,1
7015513748,13830770920,6894435700,0
17870609761,35731328497,17880500786,1
3204605,6390313,3208180,0
1964261,3889261,1967050,0
602116,1188884,605200,0
313793762,610148981,301532981,0
2052543025,2054083106,4103545969,1
66975369616,67022979616,133903129232,1
3010011773,5854483298,2867836973,0
3500660,6986324,3508136,0
441,882,441,1
20561545,41105245,20570612,0
833065949,1639044058,818179909,0
2732545,5438404,2739141,0
6544585,13071385,6549698,0
7398400,7571456,14623744,1
120780100,240945544,121394756,1
72250000,142810000,73940000,1
105625,113906,202969,1
10917530,21027617,10936985,0
1969349,3886474,1974925,0
22690837,45343765,22700360,0
415167464,807023188,402713524,0
342694144,343877888,684204544,1
907513,1654610,1023865,0
289476196,575762596,292665992,1
3666302500,7330909796,3667997704,1
24555313,49074325,24565220,0
469935684,470195784,939611268,1
5001318400,9993588736,5010366464,1
631685,1108925,591482,0
1308051889,1312316114,2611839553,1
135148140625,135210629650,270233792225,1
1017218,1845485,1069085,0
2249213,4461085,2252200,0
314721,559746,384417,1
1897386481,1901130706,3791028737,1
6307059889,12601102114,6320077553,1
21529600,42763264,21825536,1
55056400,55471136,109698064,1
