side1,side2,side3,side1^2,side2^2,side3^2,validity
252,864,900,63504,746496,810000,1
3400,64685,64770,11560000,4184149225,4195152900,0
287605,7469,287508,82716636025,55785961,82660850064,1
2144,32227,32294,4596736,1038579529,1042902436,0
855,1520,1710,731025,2310400,2924100,0
1320,25113,25146,1742400,630662769,632321316,0
127581,127719,6003,16276911561,16312142961,36036009,0
7990,1222,7896,63840100,1493284,62346816,1
224006,224068,5332,50178688036,50206468624,28430224,0
28392,28483,2275,806105664,811281289,5175625,1
18525,18715,2660,343175625,350251225,7075600,1
3120,62361,62439,9734400,3888894321,3898628721,1
28392,1288,28364,806105664,1658944,804516496,0
5550,102600,102750,30802500,10526760000,10557562500,1
6292,6318,585,39589264,39917124,342225,0
1095,81,1092,1199025,6561,1192464,1
2100,2184,672,4410000,4769856,451584,0
7560,332724,332808,57153600,110705260176,110761164864,0
2077,15075,15209,4313929,227255625,231313681,0
335502,7452,335421,112561592004,55532304,112507247241,0
4800,179968,180032,23040000,32388481024,32411521024,1
98410,98436,2288,9684528100,9689646096,5234944,0
1989,50700,50739,3956121,2570490000,2574446121,1
64800,64864,2912,4199040000,4207338496,8479744,0
6300,132225,132375,39690000,17483450625,17523140625,1
154207,3807,154160,23779798849,14493249,23765305600,1
5396,191520,191596,29116816,36679910400,36709027216,1
83334,1700,83317,6944555556,2890000,6941722489,0
168,2349,2355,28224,5517801,5546025,1
28392,28470,2106,806105664,810540900,4435236,1
50,205,210,2500,42025,44100,0
36456,1456,36428,1329039936,2119936,1326999184,0
1224,10368,10440,1498176,107495424,108993600,1
214272,214458,9021,45912489984,45992233764,81378441,0
4176,117000,117072,17438976,13689000000,13705853184,0
-31,31,0,961,961,0,1
78,104,130,6084,10816,16900,1
4218,592,4181,17791524,350464,17480761,0
3969,160720,160769,15752961,25830918400,25846671361,1
36,18,0,1296,324,0,0
1008,5124,5208,1016064,26255376,27123264,0
69595,2077,69564,4843464025,4313929,4839150096,1
52040,52080,2080,2708161600,2712326400,4326400,0
1806,38808,38850,3261636,1506060864,1509322500,1
1325,1431,583,1755625,2047761,339889,0
6162,243360,243438,37970244,59224089600,59262059844,1
5810,117670,117810,33756100,13846228900,13879196100,0
310,4800,4810,96100,23040000,23136100,1
4500,4575,825,20250000,20930625,680625,1
14175,14301,1953,200930625,204518601,3814209,0
90756,2556,90720,8236651536,6533136,8230118400,1
2394,32928,33012,5731236,1084253184,1089792144,0
320922,7290,320841,102990930084,53144100,102938947281,0
2896,304,2880,8386816,92416,8294400,1
52825,1625,52800,2790480625,2640625,2787840000,1
2442,87945,87978,5963364,7734323025,7740128484,0
3381,116620,116669,11431161,13600224400,13611655561,1
152136,4680,152064,23145362496,21902400,23123460096,1
0,0,0,0,0,0,1
30153,30267,2679,909203409,916091289,7177041,0
123120,123310,6935,15158534400,15205356100,48094225,0
3060,32912,33048,9363600,1083199744,1092170304,0
630,4704,4746,396900,22127616,22524516,1
1098,84,1095,1205604,7056,1199025,0
3540,53041,53159,12531600,2813347681,2825879281,1
14715,891,14688,216531225,793881,215737344,1
4928,108360,108472,24285184,11741889600,11766174784,1
2479,21708,21842,6145441,471237264,477072964,0
151536,151580,3652,22963159296,22976496400,13337104,1
13008,464,13000,169208064,215296,169000000,0
5192,292,5184,26956864,85264,26873856,0
0,0,0,0,0,0,1
700,1680,1820,490000,2822400,3312400,1
109175,109230,3520,11919180625,11931192900,12390400,0
143463,143514,3876,20581632369,20596268196,15023376,0
885,1003,472,783225,1006009,222784,1
44,55,66,1936,3025,4356,0
210743,210786,4300,44412612049,44430737796,18490000,0
104194,5015,104076,10856389636,25150225,10831813776,0
1625,1755,715,2640625,3080025,511225,0
40,96,104,1600,9216,10816,1
4380,4453,803,19184400,19829209,644809,1
960,4752,4848,921600,22581504,23503104,1
34752,3648,34560,1207701504,13307904,1194393600,1
8464,380972,381064,71639296,145139664784,145209772096,0
880,3608,3696,774400,13017664,13660416,0
132,671,682,17424,450241,465124,0
2640,19712,19888,6969600,388562944,395532544,1
28875,28925,1700,833765625,836655625,2890000,1
90720,90860,5110,8230118400,8255539600,26112100,0
2160,30312,30384,4665600,918817344,923187456,0
177,295,236,31329,87025,55696,1
227755,227810,5060,51872340025,51897396100,25603600,0
360,450,270,129600,202500,72900,1
143846,6390,143704,20691671716,40832100,20650839616,1
79550,3698,79464,6328202500,13675204,6314527296,1
21150,21338,2914,447322500,455310244,8491396,0
3096,31752,31896,9585216,1008189504,1017354816,0
134904,135050,6278,18199089216,18238502500,39413284,1
76440,76531,3731,5843073600,5856993961,13920361,1
3619,85008,85085,13097161,7226360064,7239457225,1
127093,127166,4380,16152630649,16171191556,19184400,0
36491,3640,36309,1331593081,13249600,1318343481,1
840,504,672,705600,254016,451584,1
73008,73104,3792,5330168064,5344194816,14379264,0
15979,779,15960,255328441,606841,254721600,1
627,17864,17875,393129,319122496,319515625,1
1953,9300,9486,3814209,86490000,89984196,0
24158,3008,23970,583608964,9048064,574560900,1
2080,39572,39624,4326400,1565943184,1570061376,0
522,2320,2378,272484,5382400,5654884,1
290,696,754,84100,484416,568516,1
193520,193579,4779,37449990400,37472829241,22838841,1
110,600,610,12100,360000,372100,1
166670,166740,4900,27778888900,27802227600,24010000,0
43392,3392,43264,1882865664,11505664,1871773696,0
60100,2500,60050,3612010000,6250000,3606002500,0
2080,81146,81172,4326400,6584673316,6588893584,0
71920,72080,4800,5172486400,5195526400,23040000,1
23112,1512,23064,534164544,2286144,531948096,0
3905,138600,138655,15249025,19209960000,19225209025,1
168,168,0,28224,28224,0,1
145180,145241,4209,21077232400,21094948081,17715681,1
22100,2100,22000,488410000,4410000,484000000,1
1334,7018,7134,1779556,49252324,50893956,0
3626,67032,67130,13147876,4493289024,4506436900,1
195102,4590,195048,38064790404,21068100,38043722304,1
14012,1860,13888,196336144,3459600,192876544,1
10584,10710,1638,112021056,114704100,2683044,1
83334,3827,83248,6944555556,14645929,6930229504,0
957,7424,7482,915849,55115776,55980324,0
3312,39675,39813,10969344,1574105625,1585074969,1
52702,2366,52650,2777500804,5597956,2772022500,0
3572,83904,83980,12759184,7039881216,7052640400,1
105057,5832,104895,11036973249,34012224,11002961025,1
