side1^2,side2^2,side3^2,validity
63504,746496,810000,1
11560000,4184149225,4195152900,0
82716636025,55785961,82660850064,1
4596736,1038579529,1042902436,0
731025,2310400,2924100,0
1742400,630662769,632321316,0
16276911561,16312142961,36036009,0
63840100,1493284,62346816,1
50178688036,50206468624,28430224,0
806105664,811281289,5175625,1
343175625,350251225,7075600,1
9734400,3888894321,3898628721,1
806105664,1658944,804516496,0
30802500,10526760000,10557562500,1
39589264,39917124,342225,0
1199025,6561,1192464,1
4410000,4769856,451584,0
57153600,110705260176,110761164864,0
4313929,227255625,231313681,0
112561592004,55532304,112507247241,0
23040000,32388481024,32411521024,1
9684528100,9689646096,5234944,0
3956121,2570490000,2574446121,1
4199040000,4207338496,8479744,0
39690000,17483450625,17523140625,1
23779798849,14493249,23765305600,1
29116816,36679910400,36709027216,1
6944555556,2890000,6941722489,0
28224,5517801,5546025,1
806105664,810540900,4435236,1
2500,42025,44100,0
1329039936,2119936,1326999184,0
1498176,107495424,108993600,1
45912489984,45992233764,81378441,0
17438976,13689000000,13705853184,0
961,961,0,1
6084,10816,16900,1
17791524,350464,17480761,0
15752961,25830918400,25846671361,1
1296,324,0,0
1016064,26255376,27123264,0
4843464025,4313929,4839150096,1
2708161600,2712326400,4326400,0
3261636,1506060864,1509322500,1
1755625,2047761,339889,0
37970244,59224089600,59262059844,1
33756100,13846228900,13879196100,0
96100,23040000,23136100,1
20250000,20930625,680625,1
200930625,204518601,3814209,0
8236651536,6533136,8230118400,1
5731236,1084253184,1089792144,0
102990930084,53144100,102938947281,0
8386816,92416,8294400,1
2790480625,2640625,2787840000,1
5963364,7734323025,7740128484,0
11431161,13600224400,13611655561,1
23145362496,21902400,23123460096,1
0,0,0,1
909203409,916091289,7177041,0
15158534400,15205356100,48094225,0
9363600,1083199744,1092170304,0
396900,22127616,22524516,1
1205604,7056,1199025,0
12531600,2813347681,2825879281,1
216531225,793881,215737344,1
24285184,11741889600,11766174784,1
6145441,471237264,477072964,0
22963159296,22976496400,13337104,1
169208064,215296,169000000,0
26956864,85264,26873856,0
0,0,0,1
490000,2822400,3312400,1
11919180625,11931192900,12390400,0
20581632369,20596268196,15023376,0
783225,1006009,222784,1
1936,3025,4356,0
44412612049,44430737796,18490000,0
10856389636,25150225,10831813776,0
2640625,3080025,511225,0
1600,9216,10816,1
19184400,19829209,644809,1
921600,22581504,23503104,1
1207701504,13307904,1194393600,1
71639296,145139664784,145209772096,0
774400,13017664,13660416,0
17424,450241,465124,0
6969600,388562944,395532544,1
833765625,836655625,2890000,1
8230118400,8255539600,26112100,0
4665600,918817344,923187456,0
31329,87025,55696,1
51872340025,51897396100,25603600,0
129600,202500,72900,1
20691671716,40832100,20650839616,1
6328202500,13675204,6314527296,1
447322500,455310244,8491396,0
9585216,1008189504,1017354816,0
18199089216,18238502500,39413284,1
5843073600,5856993961,13920361,1
13097161,7226360064,7239457225,1
16152630649,16171191556,19184400,0
1331593081,13249600,1318343481,1
705600,254016,451584,1
5330168064,5344194816,14379264,0
255328441,606841,254721600,1
393129,319122496,319515625,1
3814209,86490000,89984196,0
583608964,9048064,574560900,1
4326400,1565943184,1570061376,0
272484,5382400,5654884,1
84100,484416,568516,1
37449990400,37472829241,22838841,1
12100,360000,372100,1
27778888900,27802227600,24010000,0
1882865664,11505664,1871773696,0
3612010000,6250000,3606002500,0
4326400,6584673316,6588893584,0
5172486400,5195526400,23040000,1
534164544,2286144,531948096,0
15249025,19209960000,19225209025,1
28224,28224,0,1
21077232400,21094948081,17715681,1
488410000,4410000,484000000,1
1779556,49252324,50893956,0
13147876,4493289024,4506436900,1
38064790404,21068100,38043722304,1
196336144,3459600,192876544,1
112021056,114704100,2683044,1
6944555556,14645929,6930229504,0
915849,55115776,55980324,0
10969344,1574105625,1585074969,1
2777500804,5597956,2772022500,0
12759184,7039881216,7052640400,1
11036973249,34012224,11002961025,1
2123366400,2132222976,8856576,1
38130625,467856,37662769,1
4146072100,12096484,4133975616,1
1285956,2108646400,2109932356,1
14017536,30978464049,30992194116,0
22500,746496,767376,0
134866686564,72863296,134795451025,0
1445216256,1446585156,1368900,1
8352132100,12320100,8340255625,0
155500900,2137444,153363456,1
3904576,565868944,569490496,0
58522500,1368900,57153600,1
3190103361,15626209,3174984409,0
2718788164,2730898564,12110400,1
6106484736,6112268761,5784025,1
26355574336,17305600,26338693264,0
45158400,46240000,1081600,1
9832308964,17397241,9815261184,0
8352100,23104,8328996,1
3038049,1246160601,1249127649,0
1642680900,5832225,1637011600,0
391485796,1028196,390457600,1
102616900,202500,102414400,1
377058724,3069504,374229025,0
51122500,52562500,1440000,1
19927296,6446484100,6466411396,1
12715043121,23474025,12692050281,0
7597737225,15681600,7582055625,1
1325979396,9529569,1316818944,0
66161956,3467044,63011844,0
2102500,57600,2044900,1
5094049,1740892176,1745986225,1
28387584,29181604,855625,0
940035600,945193536,5531904,0
1280566225,6076225,1274490000,1
41650687225,41720105025,70812225,0
60025,86436,38416,0
17673043600,48888064,17624155536,1
106276,1369,104976,0
623750625,627452401,3701776,1
40401,45319824,45360225,1
0,0,0,1
423801,4981824,5405625,1
14120568900,7128900,14113440000,1
1372257936,1384732944,13046544,0
330366976,335549124,5489649,0
366799104,370485504,3686400,1
27599176900,24581764,27574595136,1
17689,29241,43681,0
616032400,619412544,3625216,0
0,0,0,1
