side1+side2,side1+side3,side2+side3,validity
69900,103199,123211,0
107059,59527,76962,0
130518,104974,104834,1
59916,118530,133298,0
92141,89639,168244,1
109394,122103,124989,1
159848,149708,157288,1
140632,94161,74505,0
141871,190315,137592,1
44601,66864,38671,1
44942,86730,92120,0
170354,98425,94835,1
69914,48324,99336,0
39399,12419,48402,0
55878,56132,75636,1
90631,81162,167493,0
108356,98501,27325,0
161717,94566,80945,0
105295,50250,115997,0
134875,133911,148040,1
69430,137557,87347,0
79703,90634,167511,0
134734,70432,65244,0
94016,108126,164146,1
37839,18333,41446,0
135631,168965,130464,1
86163,25097,74362,0
44536,35141,50475,1
27291,112527,104460,0
153877,160608,181407,1
88892,121885,140335,1
132506,90226,74566,1
21841,100081,110010,0
179699,123078,133213,1
100016,143714,106206,1
83253,90190,140911,1
124932,125885,101049,1
128492,99277,169291,1
56569,55000,24975,0
166682,162511,184707,1
111547,126819,107314,1
88592,30921,106411,0
155714,117765,88921,0
97905,29081,103576,0
36582,98375,69497,0
105619,96800,134045,1
64093,45004,44619,1
68088,35417,55581,0
58369,43570,88523,0
61857,87716,140689,0
80320,70841,115257,1
88771,110595,117730,1
131289,103406,94617,1
44151,61353,94066,0
94122,104461,57229,0
146884,162771,111701,1
72992,130878,89690,0
108448,81337,136333,0
22769,35357,39078,0
138966,72793,98911,0
22278,41227,26801,0
164674,121470,103460,1
136219,138986,140971,1
143559,159771,115604,1
43841,87822,105461,0
65616,107201,63621,1
92901,70063,135704,0
64445,42688,49667,1
70169,57013,70090,1
73696,48632,104448,0
110741,106470,26195,0
104271,61130,64623,1
73773,77391,58824,1
142627,166511,142482,1
110988,155182,87552,0
65547,109550,133073,0
105936,107906,69360,0
82473,54155,112972,0
57887,118595,116630,0
105710,109691,40937,0
74615,91847,36202,0
150799,162695,164482,1
133319,164778,156821,1
80335,66373,130738,0
148847,163802,164863,1
104226,35449,89231,0
169402,176169,184717,1
93575,163152,102335,1
167510,100222,94874,1
66575,129948,117273,0
102172,143968,89722,1
139558,134985,96557,1
107987,118166,159191,1
62619,99021,148902,0
112379,78609,133532,0
76067,102792,68845,1
145230,167350,165742,1
51707,26224,43577,0
172331,116183,124016,1
29084,83080,93408,0
142002,111683,151433,1
108961,122546,163851,1
47488,53540,58274,1
89952,113858,152286,1
141715,57181,100890,0
132089,134184,147233,1
84368,111777,111857,1
78762,107605,163769,0
44830,32383,45739,1
82500,132150,134926,0
128839,148398,179929,1
120855,192800,123741,1
142948,101126,61034,0
99181,118929,97062,1
135697,70334,73471,1
109606,75693,127983,0
69551,94911,88196,1
92329,105242,75049,1
105900,84672,76200,1
120606,88482,134448,1
127745,77598,90095,1
69669,54882,21899,0
160848,173092,185794,1
109192,69176,137512,0
79887,111967,113446,1
151320,139637,123203,1
129638,119355,74609,0
62783,62982,18865,0
93167,128022,121905,1
99387,152886,144849,1
27367,85831,102240,0
41824,82517,74455,0
49863,88285,103560,0
76942,61679,135575,0
82521,36962,73691,0
138391,101901,126346,1
95803,107776,84913,1
66244,58614,70486,1
17282,77038,77470,0
76473,119080,71877,1
103889,111719,157488,1
79109,115528,51241,0
67094,64117,45073,1
41819,47740,27229,0
76842,110752,147110,0
76160,91649,76771,1
63092,39840,73376,0
130598,164675,130841,1
178857,108670,91851,0
102791,154367,77918,0
100861,66708,99803,0
127408,181586,115502,1
14455,56820,54593,0
58852,100176,153090,0
69310,131436,88120,0
108867,129723,115340,1
67870,74291,32051,0
89815,125702,126097,1
92588,2288,93848,0
121233,110650,144293,1
135815,93532,66701,0
14788,76600,75196,0
107759,100774,10883,0
34911,122516,106551,0
71404,136842,78930,0
155392,125607,86703,0
186595,189686,179475,1
71489,63105,36086,0
91160,69329,146061,0
116745,135206,77503,0
11955,43188,31503,0
137963,133208,189597,1
94067,127731,108864,1
140209,122317,170516,1
112629,166712,103609,1
97832,139437,93525,1
121746,97661,86505,1
106079,108907,49950,0
57753,21049,56508,0
78040,49045,91761,0
120307,99687,170754,1
72359,81779,135736,0
184024,148278,153902,1
103419,162637,84332,0
61964,145621,107595,0
150659,113395,133114,1
170004,129896,109666,1
120300,81469,128517,0
152024,107712,130520,1
118854,94882,68420,0
51848,10653,55489,0
95838,142211,59767,0
141120,107019,145087,1
67483,83640,66215,1
133331,112612,122619,1
93782,40166,101342,0
161098,86073,113693,0
110520,102400,190766,1
97054,97247,63233,0
80594,62900,108750,0
164649,187795,166542,1
117880,161350,98738,1
34494,51259,69459,0
141552,122907,169291,1
149976,145016,127364,1
147838,164339,149031,1
99238,152076,55400,0
108612,38138,120370,0
106101,117572,37241,0
176778,103922,125738,1
156241,97229,113466,1
135972,113651,177549,1
25794,1074,25230,0
129165,146688,83163,0
107685,180645,121336,1
89038,113689,41447,0
96424,97353,126005,1
108223,78503,88210,1
173164,194950,170778,1
79765,116168,92911,1
147392,131478,147832,1
72582,49741,24809,0
114867,73415,44616,0
14218,86236,93322,0
95902,75300,133052,0
60933,94888,110633,0
87603,110633,80644,1
133574,127649,176667,1
67573,95373,63476,1
148944,156332,136608,1
68645,99817,108022,0
21511,9794,17339,0
162852,135968,130150,1
102105,132587,138488,1
115947,82244,155945,0
39345,16714,23063,0
87254,102299,32397,0
175746,141130,161080,1
73094,83847,65287,1
158169,106703,96146,1
106090,76506,113790,1
136865,103829,158108,1
15736,77686,93128,0
186216,182988,189678,1
92517,113526,84873,1
95173,99928,11341,0
147146,74204,96458,0
40833,75816,38101,0
158821,162920,135031,1
95054,147109,109521,1
103214,145417,104213,1
90268,107047,124795,1
51672,26523,29405,0
84743,137284,88943,1
115028,92238,78892,1
23880,65893,75835,0
112076,33651,81073,0
132388,109542,104222,1
139925,141537,184514,1
77187,47499,105682,0
59973,54795,109724,0
120941,119601,169768,1
151335,180423,164322,1
158441,106812,120847,1
140432,181781,147999,1
91015,67571,73034,1
124201,108797,69342,0
145090,102901,65805,0
125126,105869,54157,0
43545,12697,35536,0
41435,52739,84174,0
99448,33205,129231,0
115380,100053,166487,1
183127,156992,172291,1
88451,31988,108931,0
53137,23745,74022,0
92392,46236,92482,0
118513,74618,82249,1
66066,58526,81532,1
67878,20130,56822,0
105985,181133,118332,1
86823,78267,36626,0
129077,60454,106409,0
139580,158387,163695,1
130160,115212,171136,1
56053,103893,70774,0
123829,109723,166852,1
74206,40252,98114,0
170578,160168,150818,1
66082,106833,65585,1
86359,22127,69084,0
73973,100258,108127,1
125395,110516,141111,1
122103,121318,117577,1
75156,114726,132202,0
140799,94034,140851,1
144415,124112,171955,1
74976,151627,92251,0
121197,113913,120102,1
77463,137385,132848,0
162700,133842,167404,1
119463,123998,87471,1
47772,55309,87439,1
110118,75908,45358,0
81563,49103,54710,1
102156,66940,75094,1
