side1,side2,side3,side1+side2,side1+side3,side2+side3,validity
24944,44956,78255,69900,103199,123211,0
44812,62247,14715,107059,59527,76962,0
65329,65189,39645,130518,104974,104834,1
22574,37342,95956,59916,118530,133298,0
6768,85373,82871,92141,89639,168244,1
53254,56140,68849,109394,122103,124989,1
76134,83714,73574,159848,149708,157288,1
80144,60488,14017,140632,94161,74505,0
97297,44574,93018,141871,190315,137592,1
36397,8204,30467,44601,66864,38671,1
19776,25166,66954,44942,86730,92120,0
86972,83382,11453,170354,98425,94835,1
9451,60463,38873,69914,48324,99336,0
1708,37691,10711,39399,12419,48402,0
18187,37691,37945,55878,56132,75636,1
2150,88481,79012,90631,81162,167493,0
89766,18590,8735,108356,98501,27325,0
87669,74048,6897,161717,94566,80945,0
19774,85521,30476,105295,50250,115997,0
60373,74502,73538,134875,133911,148040,1
59820,9610,77737,69430,137557,87347,0
1413,78290,89221,79703,90634,167511,0
69961,64773,471,134734,70432,65244,0
18998,75018,89128,94016,108126,164146,1
7363,30476,10970,37839,18333,41446,0
87066,48565,81899,135631,168965,130464,1
18449,67714,6648,86163,25097,74362,0
14601,29935,20540,44536,35141,50475,1
17679,9612,94848,27291,112527,104460,0
66539,87338,94069,153877,160608,181407,1
35221,53671,86664,88892,121885,140335,1
74083,58423,16143,132506,90226,74566,1
5956,15885,94125,21841,100081,110010,0
84782,94917,38296,179699,123078,133213,1
68762,31254,74952,100016,143714,106206,1
16266,66987,73924,83253,90190,140911,1
74884,50048,51001,124932,125885,101049,1
29239,99253,70038,128492,99277,169291,1
43297,13272,11703,56569,55000,24975,0
72243,94439,90268,166682,162511,184707,1
65526,46021,61293,111547,126819,107314,1
6551,82041,24370,88592,30921,106411,0
92279,63435,25486,155714,117765,88921,0
11705,86200,17376,97905,29081,103576,0
32730,3852,65645,36582,98375,69497,0
34187,71432,62613,105619,96800,134045,1
32239,31854,12765,64093,45004,44619,1
23962,44126,11455,68088,35417,55581,0
6708,51661,36862,58369,43570,88523,0
4442,57415,83274,61857,87716,140689,0
17952,62368,52889,80320,70841,115257,1
40818,47953,69777,88771,110595,117730,1
70039,61250,33367,131289,103406,94617,1
5719,38432,55634,44151,61353,94066,0
70677,23445,33784,94122,104461,57229,0
98977,47907,63794,146884,162771,111701,1
57090,15902,73788,72992,130878,89690,0
26726,81722,54611,108448,81337,136333,0
9524,13245,25833,22769,35357,39078,0
56424,82542,16369,138966,72793,98911,0
18352,3926,22875,22278,41227,26801,0
91342,73332,30128,164674,121470,103460,1
67117,69102,71869,136219,138986,140971,1
93863,49696,65908,143559,159771,115604,1
13101,30740,74721,43841,87822,105461,0
54598,11018,52603,65616,107201,63621,1
13630,79271,56433,92901,70063,135704,0
28733,35712,13955,64445,42688,49667,1
28546,41623,28467,70169,57013,70090,1
8940,64756,39692,73696,48632,104448,0
95508,15233,10962,110741,106470,26195,0
50389,53882,10741,104271,61130,64623,1
46170,27603,31221,73773,77391,58824,1
83328,59299,83183,142627,166511,142482,1
89309,21679,65873,110988,155182,87552,0
21012,44535,88538,65547,109550,133073,0
72241,33695,35665,105936,107906,69360,0
11828,70645,42327,82473,54155,112972,0
29926,27961,88669,57887,118595,116630,0
87232,18478,22459,105710,109691,40937,0
65130,9485,26717,74615,91847,36202,0
74506,76293,88189,150799,162695,164482,1
70638,62681,94140,133319,164778,156821,1
7985,72350,58388,80335,66373,130738,0
73893,74954,89909,148847,163802,164863,1
25222,79004,10227,104226,35449,89231,0
80427,88975,95742,169402,176169,184717,1
77196,16379,85956,93575,163152,102335,1
86429,81081,13793,167510,100222,94874,1
39625,26950,90323,66575,129948,117273,0
78209,23963,65759,102172,143968,89722,1
88993,50565,45992,139558,134985,96557,1
33481,74506,84685,107987,118166,159191,1
6369,56250,92652,62619,99021,148902,0
28728,83651,49881,112379,78609,133532,0
55007,21060,47785,76067,102792,68845,1
73419,71811,93931,145230,167350,165742,1
17177,34530,9047,51707,26224,43577,0
82249,90082,33934,172331,116183,124016,1
9378,19706,73702,29084,83080,93408,0
51126,90876,60557,142002,111683,151433,1
33828,75133,88718,108961,122546,163851,1
21377,26111,32163,47488,53540,58274,1
25762,64190,88096,89952,113858,152286,1
49003,92712,8178,141715,57181,100890,0
59520,72569,74664,132089,134184,147233,1
42144,42224,69633,84368,111777,111857,1
11299,67463,96306,78762,107605,163769,0
15737,29093,16646,44830,32383,45739,1
39862,42638,92288,82500,132150,134926,0
48654,80185,99744,128839,148398,179929,1
94957,25898,97843,120855,192800,123741,1
91520,51428,9606,142948,101126,61034,0
60524,38657,58405,99181,118929,97062,1
66280,69417,4054,135697,70334,73471,1
28658,80948,47035,109606,75693,127983,0
38133,31418,56778,69551,94911,88196,1
61261,31068,43981,92329,105242,75049,1
57186,48714,27486,105900,84672,76200,1
37320,83286,51162,120606,88482,134448,1
57624,70121,19974,127745,77598,90095,1
51326,18343,3556,69669,54882,21899,0
74073,86775,99019,160848,173092,185794,1
20428,88764,48748,109192,69176,137512,0
39204,40683,72763,79887,111967,113446,1
83877,67443,55760,151320,139637,123203,1
87192,42446,32163,129638,119355,74609,0
53450,9333,9532,62783,62982,18865,0
49642,43525,78380,93167,128022,121905,1
53712,45675,99174,99387,152886,144849,1
5479,21888,80352,27367,85831,102240,0
24943,16881,57574,41824,82517,74455,0
17294,32569,70991,49863,88285,103560,0
1523,75419,60156,76942,61679,135575,0
22896,59625,14066,82521,36962,73691,0
56973,81418,44928,138391,101901,126346,1
59333,36470,48443,95803,107776,84913,1
27186,39058,31428,66244,58614,70486,1
8425,8857,68613,17282,77038,77470,0
61838,14635,57242,76473,119080,71877,1
29060,74829,82659,103889,111719,157488,1
71698,7411,43830,79109,115528,51241,0
43069,24025,21048,67094,64117,45073,1
31165,10654,16575,41819,47740,27229,0
20242,56600,90510,76842,110752,147110,0
45519,30641,46130,76160,91649,76771,1
14778,48314,25062,63092,39840,73376,0
82216,48382,82459,130598,164675,130841,1
97838,81019,10832,178857,108670,91851,0
89620,13171,64747,102791,154367,77918,0
33883,66978,32825,100861,66708,99803,0
96746,30662,84840,127408,181586,115502,1
8341,6114,48479,14455,56820,54593,0
2969,55883,97207,58852,100176,153090,0
56313,12997,75123,69310,131436,88120,0
61625,47242,68098,108867,129723,115340,1
55055,12815,19236,67870,74291,32051,0
44710,45105,80992,89815,125702,126097,1
514,92074,1774,92588,2288,93848,0
43795,77438,66855,121233,110650,144293,1
81323,54492,12209,135815,93532,66701,0
8096,6692,68504,14788,76600,75196,0
98825,8934,1949,107759,100774,10883,0
25438,9473,97078,34911,122516,106551,0
64658,6746,72184,71404,136842,78930,0
97148,58244,28459,155392,125607,86703,0
98403,88192,91283,186595,189686,179475,1
49254,22235,13851,71489,63105,36086,0
7214,83946,62115,91160,69329,146061,0
87224,29521,47982,116745,135206,77503,0
11820,135,31368,11955,43188,31503,0
40787,97176,92421,137963,133208,189597,1
56467,37600,71264,94067,127731,108864,1
46005,94204,76312,140209,122317,170516,1
87866,24763,78846,112629,166712,103609,1
71872,25960,67565,97832,139437,93525,1
66451,55295,31210,121746,97661,86505,1
