side1^2+side2^2,side1^2+side3^2,side2^2+side3^2,validity
93551634,183171978,92288394,0
138782602,70325290,71957970,0
5870914322,11700067561,5856993961,1
54539425696,108938988340,54493681844,0
192098920,379778152,190665800,0
650507364,1277360136,642622500,1
1043176265,1047499172,2081481965,0
5081557480,10112702056,5065060424,0
5874120,11329192,5740840,0
5002449984,5026186368,9981163584,1
85331250,88076250,167456250,0
89540,157421,83369,0
265555008,526437504,263997504,1
5877016096,2941543696,2947614992,1
2201349384,4391438805,2197694421,0
10890,19602,10890,0
2179784,3516868,1898884,1
18776646792,37459683396,18745443396,1
416486007169,208287268225,208375797506,1
12196102698,6107424714,6125229234,0
859779684,869253768,1710085284,1
34080080625,17049830625,17069411250,1
64457153,125962114,63473089,1
1394121442,2777287121,1390469521,1
10771685,10778248,21536485,0
2727362560,1368788992,1378242560,0
54900,36900,46800,0
1620648,850824,915624,0
5804391040,2908608640,2920675968,0
23809149832,47574095365,23794652165,0
108326464,108492928,216486464,1
11231750600,22419033700,11216928100,1
37488704400,37553732496,74912380704,1
608877,1188900,599625,0
5008306109,2508195101,2515501160,0
1183617544,2347910756,1177176100,1
102261285,51696225,52597188,0
986746176,493955136,495021312,0
65824,79376,48400,1
264813300,526047696,263645604,0
56300099621,56342326472,112555675301,0
296493961,301090697,588391186,1
2860698292,5715194965,2858666945,0
5532477028,2773775545,2787871005,0
4411908,7564104,3992004,1
15974936096,31928645392,15967860496,1
74518849156,37276024900,37309225544,1
1528825266,765905625,768891609,1
3611529216,3634569216,7200018432,1
1242297,670761,769986,1
5180832484,5190616868,10351880584,1
827424,997776,608400,1
11881728196,5942868100,5946876104,1
2989,2009,2548,0
16736596900,16780553800,33429236900,1
6792051554,13540165321,6777405625,1
307568962,606881081,304816681,1
12662780458,6343694890,6366929330,0
13690000,13719584,27350416,1
23811745834,11926380386,11965224970,0
2570868000,5104548000,2558743200,0
3016425600,6006083200,3007657600,0
1627450,837562,877250,0
1752330952,880546276,889307876,1
11426929,21939746,11122225,1
58144250,115824250,57992050,0
1225,2450,1225,1
159112996,159818596,317520392,1
25068841,26038845,48990004,0
9053332201,9058850002,18101146601,1
62479362025,31256472025,31290054050,1
31725814336,15886081600,15932430464,1
31856506960,63513348160,31790927888,0
17079211396,17117871956,34117955152,0
645200,1096000,586000,0
308025,340425,583650,1
9014517760,18010502144,9008444416,0
314136648,623822724,312653124,1
186902577,190654245,369548820,0
17809136680,8916857608,8940259880,0
60236386,30195025,30348689,1
672832,341776,351056,0
61308900,62151624,121775076,1
6932542500,3475715625,3493378125,0
4441424360,8842775789,4428524621,0
66878370,132454426,66455194,0
62104500,123245200,61790500,0
62802347144,125463433156,62755260100,1
