side1,side2,side3,side1+side2,side1+side3,side2+side3,validity
77148,10611,98501,87759,175649,109112,0
77170,3595,14889,80765,92059,18484,0
87228,25781,70660,113009,157888,96441,1
21806,88749,66958,110555,88764,155707,1
78361,24258,50487,102619,128848,74745,0
2536,67355,72138,69891,74674,139493,0
42517,76433,75080,118950,117597,151513,1
9846,24465,56422,34311,66268,80887,0
65422,764,49822,66186,115244,50586,0
18220,58286,2715,76506,20935,61001,0
74857,50483,45638,125340,120495,96121,1
57148,24929,78872,82077,136020,103801,1
51875,10285,23248,62160,75123,33533,0
89289,76074,50698,165363,139987,126772,1
46837,32564,62936,79401,109773,95500,1
1800,3538,91817,5338,93617,95355,0
36742,91364,83219,128106,119961,174583,1
78871,35914,99226,114785,178097,135140,1
96941,72964,52811,169905,149752,125775,1
42793,26338,44489,69131,87282,70827,1
6030,85994,48338,92024,54368,134332,0
91009,98557,3740,189566,94749,102297,0
5824,58728,49869,64552,55693,108597,0
42310,69807,45654,112117,87964,115461,1
37500,28656,85871,66156,123371,114527,0
48658,59527,57471,108185,106129,116998,1
329,12611,86175,12940,86504,98786,0
7931,88102,11895,96033,19826,99997,0
12383,1742,70382,14125,82765,72124,0
57153,7629,65102,64782,122255,72731,0
880,48076,85545,48956,86425,133621,0
97318,35562,84227,132880,181545,119789,1
41128,33535,25968,74663,67096,59503,1
16211,66841,9081,83052,25292,75922,0
85320,58353,37315,143673,122635,95668,1
86247,31123,22689,117370,108936,53812,0
83575,97179,4363,180754,87938,101542,0
78079,47351,71177,125430,149256,118528,1
29440,87781,98934,117221,128374,186715,1
55788,68145,30830,123933,86618,98975,1
31699,59250,60094,90949,91793,119344,1
93218,20669,55410,113887,148628,76079,0
56884,73054,7233,129938,64117,80287,0
74356,43625,58730,117981,133086,102355,1
98472,85613,67531,184085,166003,153144,1
75255,19098,87117,94353,162372,106215,1
68079,23077,52885,91156,120964,75962,1
63193,65856,59673,129049,122866,125529,1
30049,38140,83215,68189,113264,121355,0
90186,89591,58811,179777,148997,148402,1
20102,45417,8222,65519,28324,53639,0
65916,89803,11124,155719,77040,100927,0
26418,10913,31561,37331,57979,42474,1
12521,75769,166,88290,12687,75935,0
1762,95033,98430,96795,100192,193463,0
30066,56849,62255,86915,92321,119104,1
14777,15519,69057,30296,83834,84576,0
52605,58176,56354,110781,108959,114530,1
63817,68837,5283,132654,69100,74120,1
27055,18292,2122,45347,29177,20414,0
36289,12272,41780,48561,78069,54052,1
14553,56761,2637,71314,17190,59398,0
18050,44573,97392,62623,115442,141965,0
38781,25639,96454,64420,135235,122093,0
90413,18175,44231,108588,134644,62406,0
94184,80421,2544,174605,96728,82965,0
69887,23548,34222,93435,104109,57770,0
39616,75749,71715,115365,111331,147464,1
55306,7094,75277,62400,130583,82371,0
59666,64433,43466,124099,103132,107899,1
18754,44787,73078,63541,91832,117865,0
45187,40760,35906,85947,81093,76666,1
76560,28314,11577,104874,88137,39891,0
95703,10553,40900,106256,136603,51453,0
70042,29550,16914,99592,86956,46464,0
63643,61569,54168,125212,117811,115737,1
39935,64012,14580,103947,54515,78592,0
17021,91041,66364,108062,83385,157405,0
86819,81603,20107,168422,106926,101710,1
49723,56590,1125,106313,50848,57715,0
11271,6889,43330,18160,54601,50219,0
39922,58021,63459,97943,103381,121480,1
70754,6893,32311,77647,103065,39204,0
90680,94511,75067,185191,165747,169578,1
14173,46966,27502,61139,41675,74468,0
50458,91029,17547,141487,68005,108576,0
69523,24040,84404,93563,153927,108444,1
21593,6362,96186,27955,117779,102548,0
26779,3706,52485,30485,79264,56191,0
14810,2012,34719,16822,49529,36731,0
75971,45897,5690,121868,81661,51587,0
75866,98907,51034,174773,126900,149941,1
69392,75487,60980,144879,130372,136467,1
8374,56569,45778,64943,54152,102347,0
40204,48758,29544,88962,69748,78302,1
53756,1399,42742,55155,96498,44141,0
82279,33353,58753,115632,141032,92106,1
82295,87286,64825,169581,147120,152111,1
78855,83241,80853,162096,159708,164094,1
34494,83313,35033,117807,69527,118346,0
22922,22063,20244,44985,43166,42307,1
77124,14143,14101,91267,91225,28244,0
15803,52423,69951,68226,85754,122374,0
38416,52367,88470,90783,126886,140837,1
81083,57612,2915,138695,83998,60527,0
57664,44997,69105,102661,126769,114102,1
45919,16894,10455,62813,56374,27349,0
14160,92570,5342,106730,19502,97912,0
21087,13625,84075,34712,105162,97700,0
27293,61549,37035,88842,64328,98584,1
2125,74886,26891,77011,29016,101777,0
41274,26852,47069,68126,88343,73921,1
81253,16591,49767,97844,131020,66358,0
24113,79634,64891,103747,89004,144525,1
29796,70843,98486,100639,128282,169329,1
86911,58602,53122,145513,140033,111724,1
12181,64493,84789,76674,96970,149282,0
22602,20832,545,43434,23147,21377,0
88499,26012,64060,114511,152559,90072,1
15981,97456,77924,113437,93905,175380,0
45038,52858,8916,97896,53954,61774,1
94611,10763,11669,105374,106280,22432,0
6113,60719,86621,66832,92734,147340,0
39390,11727,17903,51117,57293,29630,0
65372,43025,81337,108397,146709,124362,1
87183,71503,82214,158686,169397,153717,1
53643,43249,65206,96892,118849,108455,1
12498,24825,55389,37323,67887,80214,0
89384,86952,86167,176336,175551,173119,1
92335,46300,79315,138635,171650,125615,1
6001,11259,41134,17260,47135,52393,0
55722,29333,62475,85055,118197,91808,1
34017,95910,93794,129927,127811,189704,1
10428,91990,86120,102418,96548,178110,1
26843,57946,4065,84789,30908,62011,0
85127,9816,94836,94943,179963,104652,1
98175,12862,27056,111037,125231,39918,0
96065,64272,85881,160337,181946,150153,1
80798,48317,96957,129115,177755,145274,1
66923,49944,41055,116867,107978,90999,1
88712,8937,6865,97649,95577,15802,0
88620,86159,13237,174779,101857,99396,1
80324,38050,71587,118374,151911,109637,1
45596,43556,52210,89152,97806,95766,1
89283,65430,50075,154713,139358,115505,1
69477,57409,67092,126886,136569,124501,1
58588,38515,62550,97103,121138,101065,1
28246,44939,68038,73185,96284,112977,1
66153,21269,4003,87422,70156,25272,0
61804,36540,76438,98344,138242,112978,1
72368,87611,87571,159979,159939,175182,1
3661,81830,40440,85491,44101,122270,0
16520,27311,77334,43831,93854,104645,0
54010,21451,68031,75461,122041,89482,1
33562,75297,17547,108859,51109,92844,0
3183,25655,12216,28838,15399,37871,0
26632,11226,59308,37858,85940,70534,0
99352,84883,22541,184235,121893,107424,1
90566,38931,50690,129497,141256,89621,0
31969,71288,38765,103257,70734,110053,0
49868,99790,12349,149658,62217,112139,0
39933,89156,35464,129089,75397,124620,0
16662,67384,78377,84046,95039,145761,1
57038,60450,28863,117488,85901,89313,1
24458,84098,3014,108556,27472,87112,0
11566,48274,40527,59840,52093,88801,1
40683,85515,27031,126198,67714,112546,0
88596,72766,20164,161362,108760,92930,1
63121,3743,2517,66864,65638,6260,0
39079,60544,97475,99623,136554,158019,1
30436,16695,77800,47131,108236,94495,0
25013,30178,94889,55191,119902,125067,0
35170,44217,5327,79387,40497,49544,0
82394,45627,61717,128021,144111,107344,1
95612,40750,43898,136362,139510,84648,0
74647,36535,51211,111182,125858,87746,1
61238,89615,31375,150853,92613,120990,1
52778,88290,84449,141068,137227,172739,1
53527,73294,48343,126821,101870,121637,1
57773,48603,17625,106376,75398,66228,1
65549,3339,13836,68888,79385,17175,0
70799,39939,83531,110738,154330,123470,1
19897,26102,75457,45999,95354,101559,0
92355,21524,88440,113879,180795,109964,1
10755,54137,44452,64892,55207,98589,1
33927,16760,81841,50687,115768,98601,0
76839,89702,68612,166541,145451,158314,1
85734,36308,49329,122042,135063,85637,0
83201,99918,1726,183119,84927,101644,0
34279,24482,56531,58761,90810,81013,1
78695,33536,28329,112231,107024,61865,0
90385,16848,97267,107233,187652,114115,1
9346,68471,72060,77817,81406,140531,1
19515,30194,7086,49709,26601,37280,0
